,,Shot Data,Shot Data,Shot Data,Corsi (5v5),Corsi (5v5),Corsi (5v5),Fenwick (5v5),Fenwick (5v5),Fenwick (5v5),Possession Quality,Possession Quality,Possession Quality,Possession Quality,Possession Quality,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances
Rk,,S%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
1,New York Rangers*,7.8,0.921,99.9,3959,3874,50.5,2862,2813,50.4,169,167.8,166,165,0,1855,1834,50.3,605,657,47.9,55,8.3,73,10
2,Dallas Stars*,8.6,0.919,100.5,4256,3666,53.7,3020,2669,53.1,182.3,151.5,192,160,1,1977,1647,54.6,633,540,54,73,10.3,71,11.6
3,Carolina Hurricanes*,7.3,0.919,99.3,4699,3119,60.1,3334,2361,58.5,172.8,151.5,169,146,2,2011,1452,58.1,713,529,57.4,61,7.9,58,9.9
4,Winnipeg Jets*,8.2,0.94,102.2,3990,3742,51.6,2915,2758,51.4,171.1,161.9,178,121,48,1800,1718,51.2,602,615,49.5,65,9.7,49,7.4
5,Florida Panthers*,7.2,0.935,100.6,4212,3288,56.2,2895,2490,53.8,166.2,144.8,156,119,16,1889,1550,54.9,673,545,55.3,51,7,57,9.5
6,Boston Bruins*,8.9,0.934,102.3,3550,3896,47.7,2573,2843,47.5,169.7,163.4,174,135,33,1706,1819,48.4,615,634,49.2,81,11.6,76,10.7
7,Vancouver Canucks*,9.6,0.928,102.4,3750,3459,52,2666,2540,51.2,168.1,159.1,187,136,42,1737,1593,52.2,613,585,51.2,82,11.8,57,8.9
8,Colorado Avalanche*,8.6,0.917,100.4,4194,3690,53.2,2943,2705,52.1,184.5,163.6,196,168,7,1906,1677,53.2,661,609,52,64,8.8,70,10.3
9,Edmonton Oilers*,8.1,0.921,100.2,4303,3431,55.6,3098,2555,54.8,209,158.7,193,153,-10,2106,1687,55.5,765,547,58.3,93,10.8,61,10
10,Toronto Maple Leafs*,8.9,0.917,100.5,4102,3869,51.5,2942,2781,51.4,191.4,163.7,200,168,4,2005,1816,52.5,734,659,52.7,81,9.9,67,9.2
11,Nashville Predators*,7.6,0.927,100.4,4052,3765,51.8,2928,2722,51.8,182.3,168.7,168,153,1,1901,1743,52.2,650,601,52,72,10,55,8.4
12,Los Angeles Kings*,7.3,0.923,99.6,4160,3486,54.4,3035,2491,54.9,169.6,146.3,165,143,-1,1843,1593,53.6,645,540,54.4,67,9.4,61,10.1
13,Tampa Bay Lightning*,8.6,0.909,99.5,3845,3681,51.1,2674,2653,50.2,167.7,166.6,171,190,-20,1786,1720,50.9,614,622,49.7,69,10.1,74,10.6
